symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
AAPL,Apple Inc.,239.07,1.58926,3.74,234.76,241.37,260.1,164.08,3591333447000,239.0744,226.8401,NASDAQ,45520263,51280910,235.105,235.33,6.97,34.3,2025-04-30T10:59:00.000+0000,15022100000,1741381202
MSFT,Microsoft Corporation,393.31,-0.90201,-3.58,385.54,394.8,468.35,381.0,2923858673800,418.4586,425.47644,NASDAQ,21158694,22524828,392.09,396.89,12.42,31.67,2025-04-23T20:00:00.000+0000,7433980000,1741381200
GOOGL,Alphabet Inc.,173.86,0.87612,1.51,170.27,174.97,207.05,136.13,2129667476899,188.8632,175.7805,NASDAQ,27236708,30513669,171.26,172.35,8.03,21.65,2025-04-23T20:00:00.000+0000,12249324036,1741381201
AMZN,"Amazon.com, Inc.",199.25,-0.72247,-1.45,192.54,202.2653,242.52,151.61,2111591725000,224.797,198.9594,NASDAQ,58585210,37010293,199.5,200.7,5.54,35.97,2025-04-28T10:59:00.000+0000,10597700000,1741381201
TSLA,"Tesla, Inc.",262.67,-0.29607,-0.78,250.73,266.2499,488.54,138.8,844883308400,374.881,280.769,NASDAQ,101496505,86116093,259.275,263.45,2.03,129.39,2025-04-23T20:00:00.000+0000,3216520000,1741381200
META,"Meta Platforms, Inc.",625.66,-0.36151,-2.27,600.61,634.7899,740.91,414.5,1585209265125,653.4088,566.0643,NASDAQ,20846594,14779589,625.34,627.93,23.86,26.22,2025-04-22T10:59:00.000+0000,2533659280,1741381200
V,Visa Inc.,345.32,0.33705,1.16,339.14,346.38,366.54,252.7,674609150936,335.1406,295.02435,NYSE,6340985,6381562,340.87,344.16,9.91,34.85,2025-04-21T10:59:00.000+0000,1953576830,1741381202
MA,Mastercard Incorporated,546.77,-0.55473,-3.05,536.28,550.305,582.23,428.86,494766705300,544.804,497.27704,NYSE,3160260,2615720,547.07,549.82,13.91,39.31,2025-04-29T12:30:00.000+0000,904890000,1741381202
