symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
GOOGL,Alphabet Inc.,173.86,0.87612,1.51,170.27,174.97,207.05,136.13,2129667476899,188.8632,175.7805,NASDAQ,27236708,30513669,171.26,172.35,8.03,21.65,2025-04-23T20:00:00.000+0000,12249324036,1741381201
AMZN,"Amazon.com, Inc.",199.25,-0.72247,-1.45,192.54,202.2653,242.52,151.61,2111591725000,224.797,198.9594,NASDAQ,58585210,37010293,199.5,200.7,5.54,35.97,2025-04-28T10:59:00.000+0000,10597700000,1741381201
